chapter,question_id,question,A,B,C,answer
1,14,"Según el capítulo, los primeros cinco libros fueron llamados por los judíos “la Ley” y también se les llamó:",La Septuaginta (“setenta traductores”).,El Pentateuco (“cinco rollos”).,El Talmud (“comentarios”).,B
1,15,"Según el capítulo, cuando los judíos hablaban de “la Ley” (Torá), no se referían solo a reglas, sino también a:",La enseñanza básica de Dios mediante la cual se entiende el resto de la Biblia.,Una lista de calendarios agrícolas sin relación con la fe.,Un registro de proverbios exclusivamente para la vida cotidiana.,A
1,16,¿Cuál de las siguientes ideas aparece en el breve resumen de “la Ley” que ofrece el capítulo?,La vida pública de Jesús y las cartas de Pablo.,La historia de la iglesia durante la Edad Media.,"Creación, rebelión humana y llamado de Abraham para traer bendición a todas las naciones.",C
1,17,"Según el capítulo, ¿por qué a Josué, Jueces, 1–2 Samuel y 1–2 Reyes se les llama “los Profetas Anteriores”?",Porque presentan la historia desde el punto de vista de Dios y resaltan la importancia de los profetas en el plan divino.,Porque fueron escritos después del exilio y son totalmente apocalípticos.,Porque narran únicamente conquistas militares con fechas exactas.,A
1,18,"Según el capítulo, ¿qué enseñanza especial destacan 1 y 2 Samuel respecto del gobierno de Dios sobre su pueblo?",Que depende de la fuerza militar de Israel para mantenerse.,"Que está ligado a los reyes descendientes de David (p. ej., 2 Samuel 7:12-16).",Que no tiene relación con ninguna promesa previa.,B
1,19,¿Qué evento señala el capítulo como el juicio de Dios sobre el reino del norte (10 tribus) por su rebelión?,La conquista asiria y el exilio del año 722 a. C.,La destrucción de Jerusalén por Roma en el año 70 d. C.,La división del reino en el año 922 a. C. como exilio definitivo.,A
1,20,"Según el capítulo, ¿qué ocurrió con Judá (reino del sur) y desde cuándo comenzó su exilio a Babilonia?",No fue exiliado; permaneció siempre en la tierra sin interrupción.,"Fue exiliado en varias etapas a partir del año 597 a. C., por su continua rebelión.","Fue exiliado en una sola etapa en el año 722 a. C., por los asirios.",B
1,21,"Según el capítulo, los “Profetas Posteriores” se ocupan principalmente de:",Relatar genealogías y leyes rituales sin referencia al exilio.,Narrar la vida y milagros de Jesús en Galilea.,"Aclarar la razón del juicio divino y revelar los planes de Dios para el futuro, antes/durante/después del cautiverio.",C
1,22,"Según el capítulo, ¿qué esperan los profetas para el futuro del pueblo de Dios tras el exilio?",La desaparición definitiva del pueblo de Dios sin esperanza futura.,"Un rescate y restablecimiento, asociado al envío de un rey del linaje de David (el Mesías) y al reino de Dios.",La sustitución de Israel por un imperio político humano.,B
1,23,"Según el capítulo, ¿qué caracteriza a la “literatura sapiencial” dentro de los Escritos?",Que se compone solo de crónicas militares y listas de reyes.,Que contiene exclusivamente profecías sobre el fin del mundo.,"Que trata temas de importancia universal (p. ej., sufrimiento, amistad, amor, sabiduría) y está menos ligada a circunstancias históricas específicas.",C
1,24,"Según el capítulo, los documentos del Nuevo Testamento pueden dividirse en dos grupos principales:",La Ley y los Profetas.,Los Evangelios y otros escritos apostólicos.,Poesía y libros históricos.,B
1,25,"Según el capítulo, ¿cuál afirmación resume mejor lo que sostiene la Biblia acerca de sí misma (OT y NT)?",La Biblia niega toda idea de inspiración divina y es solo literatura religiosa.,"Solo algunas partes son inspiradas, y el resto carece de autoridad.","Jesús y los apóstoles consideraban inspirado el Antiguo Testamento, y los cristianos reconocieron pronto autoridad similar en los escritos del Nuevo Testamento.",C
2,1,"Según el capítulo, ¿cómo describe Génesis 1 la obra creativa de Dios en contraste con una “creación” humana común?","Dios crea “los cielos y la tierra” sin materiales ya existentes, por su orden específica.","Dios solo reorganiza materiales preexistentes, como un artista que pinta un cuadro.","Dios delega la creación en ángeles, sin intervenir mediante su palabra.",A
2,2,¿Qué repetición en Génesis 1 enfatiza el absoluto control de Dios sobre la creación?,“Y dijo Dios... y fue así.”,“Y temió el hombre...”,“Y discutieron las naciones...”,A
2,3,La frase “y vio Dios que era bueno” sugiere principalmente que:,la creación cumple con los buenos propósitos de Dios en cada etapa.,la creación es buena solo cuando el ser humano la controla sin límites.,"Dios no tiene propósitos definidos, sino que improvisa en cada día de la creación.",A
2,4,"Según el capítulo, ¿qué muestra el hecho de que Dios nombre ciertas cosas y les atribuya funciones específicas?",Que la creación tiene propósito y orden según la voluntad de Dios.,Que los nombres son irrelevantes y solo decorativos.,Que el ser humano puede redefinir libremente el sentido de la creación.,A
2,5,"De acuerdo con el capítulo, ¿cuál es la tarea de la humanidad como “imagen” y “semejanza” de Dios?","Gobernar la creación como representantes de Dios, sin abuso, según su voluntad.","Hacer uso o abuso de la creación a gusto, porque el mundo pertenece al ser humano.","Vivir aislados del resto de la creación, sin responsabilidad sobre ella.",A
2,6,"En la narración del huerto del Edén, ¿qué verbos ilustran el sentido correcto del dominio humano sobre la creación?",“Labrar” y “guardar”.,“Conquistar” y “destruir”.,“Ignorar” y “abandonar”.,A
2,7,"Según el capítulo, el “reposo” de Dios (Gn 2:1-3) NO significa que Dios esté:",inactivo.,culminando su obra creativa y marcando un día de bendición y veneración.,enseñando que el sentido de la vida no se reduce al trabajo y al disfrute de la creación.,A
2,8,"El propósito de Dios al crearnos, según el capítulo, se relaciona con:","gozar de una relación intacta con Dios, representada por el “reposo”.",buscar significado solo en el esfuerzo laboral y en los beneficios materiales.,independizarnos de Dios para lograr una existencia coherente y satisfactoria.,A
2,9,"En Génesis 2:16-17, la orden de Dios se presenta en el capítulo como:","una palabra de misericordia y advertencia, buena y proveniente del amoroso Creador.",una restricción arbitraria que no tiene relación con el bien humano.,una sugerencia opcional sin consecuencias.,A
2,10,"Según el capítulo, buscar el conocimiento “del bien y del mal” implica principalmente:",intentar igualarse a Dios.,aprender oficios prácticos para administrar el huerto.,adquirir información científica neutral sobre la naturaleza.,A
2,11,"La consecuencia inmediata de la caída, según el capítulo, fue:","el rompimiento de las relaciones: con Dios, entre humanos y con la creación.",la eliminación total del pecado del corazón humano.,la restauración automática del reposo perfecto con Dios.,A
2,12,"Según el capítulo, ¿por qué se dice que Adán pecó “con los ojos abiertos”?",Porque recibió la orden de Dios (2:16-17) y aun así desobedeció.,Porque no escuchó la orden de Dios y actuó por ignorancia.,Porque la serpiente no tuvo ninguna participación en la tentación.,A
2,13,¿Qué expresa la sentencia de Génesis 3:22-24 según el capítulo?,"Expulsión del huerto y exclusión del árbol de la vida, dejando un futuro de dolor y muerte.",Acceso ilimitado a la vida eterna en el huerto.,Que el juicio de Dios fue simbólico y sin consecuencias reales.,A
2,14,"Después de la caída, ¿qué ocurre con el gozo por las diferencias entre hombre y mujer, según el capítulo?",Es reemplazado por dolor y conflictos en la relación.,Se intensifica sin ninguna mezcla de sufrimiento.,Deja de existir toda relación humana y no hay matrimonio.,A
2,15,El capítulo resume un patrón en Génesis 1–11 que puede describirse como:,pecado → juicio → misericordia.,progreso → prosperidad → perfección.,silencio → duda → olvido.,A
2,16,¿Cuál ejemplo usa el capítulo para mostrar el rompimiento completo de las relaciones humanas tras la caída?,Caín mata a su hermano Abel.,Israel construye el templo de Jerusalén.,David derrota a Goliat.,A
2,17,"Según el capítulo, la frase de Gn 3:17-19 indica que el dominio humano sobre la creación sería:","deteriorado, convirtiendo la vida en lucha contra el ambiente y conduciendo a la muerte.",perfecto e inalterable a pesar del pecado.,"irrelevante, porque el ser humano ya no interactuaría con la creación.",A
2,18,"En el juicio del diluvio, el capítulo describe la inundación como:",semejante a una inversión del proceso de la creación.,una ceremonia simbólica sin alcance universal.,una historia sin relación con el tema del pecado y del juicio.,A
2,19,"¿Qué muestra la decisión de Dios de salvar a Noé, su familia y animales en el arca?",El compromiso permanente de Dios con su creación a pesar del pecado.,Que Dios abandonó definitivamente la creación.,Que el pecado había desaparecido por completo de la humanidad.,A
2,20,"Después del diluvio, Dios ofrece a la humanidad:",un nuevo comienzo en una creación renovada y promete no repetir un diluvio semejante.,la eliminación de toda responsabilidad humana sobre la creación.,la abolición de la multiplicación humana y del dominio sobre la tierra.,A
2,21,"En la historia de la torre de Babel, ¿qué revela la frase “y hagámonos un nombre”?",La arrogante presunción humana de construir una vida coherente dejando a Dios fuera.,La obediencia humilde a la palabra de Dios.,Un acto de adoración a Dios ordenado por los profetas.,A
2,22,"Según el capítulo, ¿cuál fue la respuesta de Dios en Babel?",Frustrar sus propósitos mediante la confusión de idiomas.,Aprobar el proyecto humano y bendecirlo sin condiciones.,Eliminar toda diferencia cultural y unificar las lenguas para siempre.,A
2,23,"Aunque en Babel parece haber solo juicio, el capítulo señala que el relato continúa con:","la genealogía de Sem que conduce al llamamiento de Abraham, inicio de un plan de salvación.",la instauración inmediata del reino de David.,la llegada del Mesías en Génesis 11.,A
2,24,"Según el capítulo, la promesa implícita en Gn 3:14-15 incluye que el problema sería resuelto:","desde dentro de la raza humana, por la “semilla” o descendencia de la mujer.",únicamente por intervención directa de animales del huerto.,por la sabiduría humana acumulada sin necesidad de redención.,A
2,25,"De acuerdo con el capítulo, ¿qué describe mejor el alcance del plan de salvación y restauración de Dios?","No solo trata individuos, sino toda la creación donde Dios nos ha colocado.","Se limita a asuntos privados, sin relación con la creación.",Apunta solo a mejorar conductas humanas sin restaurar relaciones con Dios.,A
3,1,"Según la introducción de la unidad, ¿qué pregunta guía el estudio del capítulo 3?",Por qué Israel ocupa un lugar tan importante dentro del mensaje bíblico y los propósitos misericordiosos de Dios.,Cómo se organizó el canon del Nuevo Testamento y sus divisiones.,Cuál fue la fecha exacta de redacción de cada libro del Pentateuco.,A
3,2,"De acuerdo a la unidad, el llamamiento de Abraham (Gn 12:1-3) se presenta como el medio de Dios para:",Anular la maldición que cayó sobre la humanidad por el pecado y restaurar la bendición.,Establecer un imperio político para dominar a las naciones vecinas.,Reemplazar por completo la creación material por una realidad puramente espiritual.,A
3,3,¿Qué idea conecta explícitamente Gn 12:1-3 con Gn 1–2 según el texto?,Que las palabras a Abraham reafirman los buenos propósitos originales de Dios para la humanidad.,Que Abraham fue creado el sexto día como corona de la creación.,Que el huerto del Edén fue construido por Moisés en el desierto.,A
3,4,"En la unidad, ¿qué episodio se usa como ejemplo fuerte de la ruina de la sociedad humana por excluir a Dios de la comunidad?",El diluvio (Gn 6–9).,La torre de Babel (Gn 11:1-9).,La venta de José (Gn 37).,B
3,5,El buen propósito de Dios en Gn 1:28 se resume principalmente como:,Hacer un templo de piedra y establecer sacrificios.,"Fructificar, multiplicarse, llenar la tierra y sojuzgarla bajo la voluntad de Dios.",Separar a la humanidad en grupos irreconciliables para evitar el pecado.,B
3,6,La promesa de hacer de Abraham “una gran nación” se relaciona con la maldición porque:,Responde al rompimiento y división de relaciones humanas resultantes del pecado.,Garantiza que Israel nunca sufrirá opresión en su historia.,Anula la necesidad de obediencia y santidad del pueblo.,A
3,7,"Cuando Dios le dice a Abraham: “Vete de tu tierra… a la tierra que te mostraré” (Gn 12:1), la unidad enfatiza que la promesa apunta a:",Un lugar donde se pueda disfrutar nuevamente la vida de bendición bajo Dios.,Un territorio para expandir comercio marítimo a gran escala.,Un desierto para probar que la tierra no es importante en el plan de Dios.,A
3,8,"Según la unidad, la ‘tierra’ se asocia con bendición porque:",Fue el símbolo de la superioridad militar de Israel.,Era el lugar donde la humanidad viviría con la bendición de Dios (Gn 1:28) en armonía con su medio (Gn 2:15-16).,Representa únicamente una metáfora sin referencia histórica.,B
3,9,¿Cuál es la relación que la unidad traza entre Gn 3 y la tierra/bendición?,Gn 3 describe el rompimiento de la armonía entre el hombre y su medio (Gn 3:17-19).,Gn 3 elimina toda posibilidad de bendición futura y deja a Dios sin propósito.,Gn 3 muestra que la tierra se vuelve irrelevante en el resto de la Biblia.,A
3,10,La unidad menciona una “patria mejor” (Heb 11:16) para indicar que:,La bendición plena apunta a una meta futura a la que se dirige toda la historia bíblica.,La promesa a Abraham se cumplió completamente en Egipto.,La fe bíblica consiste en abandonar toda esperanza de restauración.,A
3,11,Génesis 12–50 se describe principalmente como la historia de:,"Moisés, Josué y los jueces.","Abraham, Isaac, Jacob y los hijos de Jacob (incluyendo a José).","Saúl, David y Salomón.",B
3,12,"¿Qué hecho marca el origen del nombre de la nación, según el texto?",Dios llamó a Jacob “Israel” (Gn 32:28).,Abraham cambió su nombre a Israel al salir de Ur.,José fue llamado Israel por el faraón.,A
3,13,Los doce hijos de Jacob se presentan como:,Los autores de los profetas posteriores.,Los ancestros de las doce tribus que constituyeron la nación de Israel (Gn 49:28).,Los reyes que gobernaron juntos en Jerusalén.,B
3,14,El relato de Génesis 12–50 enfatiza que Dios dio descendencia a Abraham a pesar de:,"Circunstancias desfavorables y obstáculos, mostrando su fidelidad al juramento.",La ausencia total de promesas divinas.,La superioridad moral constante de los patriarcas.,A
3,15,¿Con qué situación concluye el libro de Génesis según la unidad?,"La familia de Jacob (Israel) permanece en Egipto, esperando la subida a la tierra prometida.",Las tribus se establecen definitivamente en Jerusalén con un templo construido.,El pueblo entra a Canaán y se divide el reino en norte y sur.,A
3,16,"En Éxodo 1:7, el texto dice que la bendición está activa porque:",Las palabras recuerdan claramente a Gn 1:28 (multiplicación y crecimiento).,El pueblo ya había recibido la monarquía davídica.,Israel ya había construido el tabernáculo.,A
3,17,"Según el resumen de Éxodo presentado, ¿qué orden describe correctamente la narrativa principal?",Israel unido por pacto → Israel esclavizado → Israel redimido → Israel llamado para servir.,Israel esclavizado en Egipto → Israel redimido de Egipto → Israel unido al Señor por un pacto → Israel llamado para servir.,Israel redimido → Israel exiliado → Israel vuelve → Israel esclavizado.,B
3,18,"En la unidad, ‘redención’ (Éx 6:2-8) se entiende como una obra de Dios que incluye, entre otras cosas:","Un propósito previo/promesa, juicios poderosos y un objetivo positivo de relación con Dios.",Solo una mejora económica del pueblo sin referencia a Dios.,Un cambio de liderazgo humano sin intervención divina.,A
3,19,¿Cuál de estos ejemplos se menciona como parte de los “grandes juicios” de Dios en la redención de Egipto?,La construcción del templo de Salomón.,Las diez plagas (Éx 7–12) y la derrota del ejército del faraón en Éx 14.,La división del reino en 1 Reyes 12.,B
3,20,"Según la unidad, la liberación de Egipto no fue un fin en sí mismo porque Dios:",Los sacó para que volvieran a Egipto con mejores condiciones.,Los sacó para que fueran su pueblo y él fuera su Dios (Éx 6:7; cf. Éx 19:4-6).,Los sacó para que evitaran toda ley y toda obligación.,B
3,21,"En Éxodo 19:5, Israel es llamado “mi especial tesoro… porque mía es toda la tierra”. Esto recalca:","Que Israel es especial, pero los propósitos de Dios se extienden más allá de Israel a toda la tierra.",Que Dios solo se interesa por Israel y no por las demás naciones.,Que la tierra prometida es el fin último y definitivo de toda la historia.,A
3,22,¿Cómo resume la unidad la relación entre la ley y la gracia/redención?,La ley es la respuesta adecuada del pueblo a la gracia de Dios; obediencia como respuesta a la redención.,La ley reemplaza la redención porque la gracia no es suficiente.,La ley fue dada para que Israel ganara la redención por méritos propios.,A
3,23,¿Qué frase de Levítico 19:2 se usa para expresar la llamada a la santidad?,"“Santos seréis, porque santo soy yo Jehová vuestro Dios.”",“No tendrás dioses ajenos delante de mí.”,“El justo por la fe vivirá.”,A
3,24,"Según la unidad, ¿cómo se describe el libro de Deuteronomio?","Una serie de discursos de Moisés en Moab, exhortando a recordar y responder correctamente al entrar a la tierra.",Un registro detallado de la construcción del templo en Jerusalén.,Una colección de poemas de David sobre el exilio.,A
3,25,"En Deuteronomio 30:15-20, los discursos culminan con:","Una invitación a escoger entre dos posibilidades (vida/obediencia vs. muerte/ruina), destacando la seriedad de la respuesta.",Un mandato de abandonar la tierra prometida para siempre.,Una promesa de que Israel nunca fallará ni será infiel.,A
3,26,La unidad cita Romanos 5:8 para enfatizar que:,"Dios redimió a Israel cuando aún eran pecadores, mostrando su iniciativa y gracia.",La redención solo ocurre después de que el pueblo alcance perfección moral.,La historia de Israel es un ejemplo de autosalvación humana.,A
3,27,"¿Dónde se registra la muerte de Moisés, según el texto?",En Éxodo 40.,En Números 22.,En Deuteronomio 34.,C
4,1,"Según la unidad, ¿por qué Palestina tuvo un papel importante en la historia política del mundo antiguo?",Porque estaba aislada por desiertos y mares y casi no tenía contacto con otras naciones.,"Porque estaba ubicada entre grandes civilizaciones (Nilo al sur y Tigris/Eufrates al norte), en una ruta comercial clave.",Porque era el centro del imperio romano durante toda la historia del Antiguo Testamento.,B
4,2,¿Qué “super potencias” (según el texto) se sentían ansiosas de controlar la ruta comercial que pasaba por la región?,Egipto por el sur; Asiria y Babilonia por el norte.,Grecia por el oeste; Persia por el este.,Roma por el sur; Fenicia por el norte.,A
4,3,"¿Cuál es el área aproximada que llegó a ocupar la tierra de las tribus de Israel, según el documento?",25.600 km² aproximadamente.,2.560 km² aproximadamente.,256.000 km² aproximadamente.,A
4,4,¿Cuáles son las tres características geográficas principales de norte a sur que se mencionan para Palestina?,"La planicie costera, las montañas y el valle del Jordán.","El desierto del Sahara, los Alpes y el río Danubio.","Las pampas, la cordillera de los Andes y el río Amazonas.",A
4,5,"Según el texto, ¿en qué meses se concentran las precipitaciones más abundantes del invierno en Palestina?",De diciembre a marzo.,De junio a septiembre.,De agosto a noviembre.,A
4,6,"¿Qué se afirma sobre el cambio climático de Palestina desde los tiempos bíblicos, según la evidencia arqueológica citada?",Que el clima ha cambiado drásticamente y ya no se parece al de la época bíblica.,Que no ha cambiado significativamente desde los tiempos bíblicos.,"Que antes no existía estación lluviosa, y ahora sí.",B
4,7,"Según Deuteronomio 11:10-12 (explicado en la unidad), ¿cuál es el contraste principal entre Egipto y Palestina respecto al riego y la fertilidad?","Egipto dependía de la lluvia, y Palestina del Nilo para regar.",Egipto regaba con las aguas del Nilo; Palestina dependía de la lluvia y no tenía agua para riego.,Ambas dependían de canales artificiales construidos por Israel.,B
4,8,"En el sentido del pasaje explicado, ¿por qué se dice que Palestina era “la tierra de Dios”?","Porque la fertilidad dependía de la lluvia, por lo que era una tierra cuidada por Dios y no por el hombre.",Porque Israel inventó un sistema de irrigación más avanzado que el de Egipto.,Porque no existían enemigos ni guerras en esa región.,A
4,9,"¿Cómo se describe la tierra en Deuteronomio (según el texto) para expresar su “bondad”, más allá de una descripción literal?","Como una tierra estéril y pedregosa, sin recursos.","Como una tierra “que fluye leche y miel”, con lenguaje exagerado para resaltar la bendición de Dios.","Como una tierra sin montañas ni valles, totalmente plana.",B
4,10,"Según la unidad, ¿qué recuerda la “buena tierra” (Deuteronomio 8:7-10) respecto al propósito de Dios?",Recuerda el huerto del Edén como lugar de bendición.,Recuerda la torre de Babel como símbolo de unidad humana.,Recuerda Sodoma y Gomorra como ejemplo de prosperidad permanente.,A
4,11,"En Deuteronomio, ¿qué idea se enfatiza al recordar que la tierra fue prometida a Abraham, Isaac y Jacob?",Que Israel entraría por su propia justicia y méritos.,Que Israel entraría porque Dios es fiel y cumple su promesa.,Que Israel entraría por tener el ejército más fuerte de la región.,B
4,12,"Según la sección “El regalo de Dios”, ¿cómo se recalca que la tierra no era ganada por Israel?",Se insiste en que Dios “da” la tierra y la entrega “por heredad”.,Se afirma que Israel la compró a las naciones vecinas con oro y plata.,Se enseña que solo los sacerdotes podían poseerla.,A
4,13,"En la sección “El lugar de la bendición”, ¿qué ejemplos se dan para ilustrar una bendición descrita en términos absolutos?",Que habría mendigos por todas partes y escasez constante.,Que no habría mendigos y que los graneros nunca estarían vacíos.,Que el pueblo viviría sin leyes ni mandamientos.,B
4,14,"¿Con qué concepto se resume la vida de bendición en la tierra prometida, según el texto?",Con la idea de “reposo”.,Con la idea de “exilio”.,Con la idea de “confusión”.,A
4,15,"Según la unidad, ¿qué “sorpresa” aparece junto con el énfasis en la tierra como regalo?",Que la tierra se presenta también como el lugar de obediencia a la ley de Dios para vivir y poseerla.,Que la tierra debía ser abandonada inmediatamente después de entrar.,Que la obediencia ya no tenía importancia en absoluto.,A
4,16,"Según la sección “La otra posibilidad” (Dt 30:15-20), ¿qué representa el “camino” de vida?",Vivir según la propia sabiduría sin escuchar a Dios.,"Amar al Señor, escuchar su voz y seguir sus mandamientos.",Buscar alianzas militares y depender de otros pueblos.,B
4,17,"Según esa misma sección, ¿qué consecuencia se asocia al “camino” de muerte?",Que el pueblo viviría largos días en la tierra sin importar su conducta.,Que serían desarraigados y no vivirían largos días en la tierra.,Que recibirían más prosperidad y seguridad.,B
4,18,¿Qué hecho marca el inicio del liderazgo de Josué en el establecimiento de la tierra prometida?,La muerte de Moisés y el llamado de Dios a Josué para guiar al pueblo.,La construcción del templo en Jerusalén.,La división del reino entre Israel y Judá.,A
4,19,"En la sección sobre Josué, ¿qué se enfatiza respecto a la conquista de la tierra?",Que fue principalmente un logro militar humano por estrategias superiores.,Que fue una conquista divina: Dios cumple sus promesas y da la tierra.,Que fue una derrota total de Israel en todas las campañas.,B
4,20,"Según Josué 21:43-45 citado en la unidad, ¿qué afirma el texto sobre las promesas de Dios?",Que muchas promesas fallaron por falta de poder.,Que no faltó palabra de todas las buenas promesas: todas se cumplieron.,"Que solo se cumplieron promesas menores, no las principales.",B
4,21,¿Qué instrucción clave se destaca en Josué 1:8 respecto a “el libro de la ley”?,Que debía guardarse en secreto y no hablarse de él.,Que no debía apartarse de la boca; debía meditarse día y noche para hacer conforme a todo lo escrito.,Que debía leerse solo una vez al año en una ceremonia.,B
4,22,"En Jueces 2:11-13 (según la unidad), ¿cuál fue el pecado central del pueblo en la tierra?","Sirvieron a Baal y Astarot, dejando al Señor.",Construyeron el arca del pacto por primera vez.,Tradujeron la ley a otro idioma por razones políticas.,B
4,23,"Según Jueces 2:14-16 explicado en el texto, ¿cómo se describe la respuesta de Dios y su gracia en ese periodo?",Dios ignora el pecado; no hay consecuencias ni intervención.,"Dios entrega al pueblo en manos de sus enemigos, y luego levanta jueces para librarlos.",Dios prohíbe cualquier liderazgo humano y deja al pueblo sin guía.,A
4,24,¿Cuál de las siguientes listas corresponde a los seis jueces mencionados en la unidad?,"Otoniel, Aod, Débora, Gedeón, Jefté, Sansón.","Abraham, Isaac, Jacob, Moisés, Aarón, Josué.","Saúl, David, Salomón, Roboam, Jeroboam, Ezequías.",B
4,25,"Según la unidad, ¿cómo se describe el “comienzo” de la monarquía en Israel?","Como una institución introducida por concesión a pecaminosas peticiones del pueblo, tras ignorar la advertencia de Samuel.","Como un mandato inmediato y perfecto del pueblo, sin advertencias ni riesgos.",Como una decisión tomada por reyes extranjeros para controlar a Israel.,A
5,1,"Después de la muerte de Saúl, ¿qué tribu fue la primera en designar a David como rey (2 Samuel 2:4)?",Efraín,Judá,Benjamín,B
5,2,"Según la unidad, ¿por qué Jerusalén se transformó en la “Ciudad de David” y ciudad real de toda Israel (2 Samuel 5:6-9)?",Porque era la ciudad más grande de Judá desde siempre.,Porque fue conquistada por la tribu de Benjamín y luego entregada a David.,Porque no era propiedad de ninguna tribu (aún no había sido tomada por Israel) y se volvió capital “neutral” para todo el pueblo.,C
5,3,"Al leer 2 Samuel 5:12, ¿qué entendió David sobre el origen y propósito de su reinado?",Que Jehová lo había confirmado como rey y había engrandecido su reino por amor a Israel.,Que su éxito dependía únicamente de su estrategia militar y alianzas.,Que el reino debía enfocarse primero en la expansión comercial y no en el pueblo.,A
5,4,"Al llevar el arca del pacto a Jerusalén (2 Samuel 6), ¿qué aspecto del reinado de David se subraya en la unidad?",Que David estableció un reinado absoluto donde nadie más tenía autoridad.,Que el reinado fue un obsequio de Dios y que el verdadero Rey de Jerusalén era Jehová.,Que el arca era solo un símbolo cultural sin relación con la presencia de Dios.,B
5,5,"Según el recuadro “¿Sabías tú que...?”, ¿de qué madera estaba hecha el arca del pacto?",Acacia,Cedro del Líbano,Olivo,A
5,6,"En 2 Samuel 7:2, ¿qué quería hacer David para el arca (antes de recibir la palabra de Natán)?",Trasladarla a Hebrón para evitar conflictos en Jerusalén.,Dejarla permanentemente en el desierto como recordatorio del éxodo.,"Construir una “casa” para el arca, comparable a su palacio.",C
5,7,"Según 2 Samuel 7:10-11, ¿qué prometió Dios respecto a la situación del pueblo en la tierra?",Que Israel no tendría necesidad de reyes humanos nunca más.,Que el pueblo viviría en un “lugar” con paz y “descanso”.,Que el pueblo debía volver a Egipto para consolidar su identidad.,B
